WardID,WardName,WardNameUnique,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude
09877,An Khánh,An Khánh_09877,01,Hà Nội,NO,An Khánh_09877,Hà Nội,An Khánh_09877,Hà Nội,20.982931,105.708572
00004,Ba Đình,Ba Đình_00004,01,Hà Nội,NO,Ba Đình_00004,Hà Nội,Ba Đình_00004,Hà Nội,21.039687,105.83718
09700,Ba Vì,Ba Vì_09700,01,Hà Nội,NO,Ba Vì_09700,Hà Nội,Ba Vì_09700,Hà Nội,21.059128,105.337614
00292,Bạch Mai,Bạch Mai,01,Hà Nội,NO,Bạch Mai,Hà Nội,Bạch Mai,Hà Nội,21.002772,105.851432
09676,Bất Bạt,Bất Bạt,01,Hà Nội,NO,Bất Bạt,Hà Nội,Bất Bạt,Hà Nội,21.159699,105.329456
00577,Bát Tràng,Bát Tràng,01,Hà Nội,NO,Bát Tràng,Hà Nội,Bát Tràng,Hà Nội,20.969554,105.945437
10126,Bình Minh,Bình Minh_10126,01,Hà Nội,NO,Bình Minh_10126,Hà Nội,Bình Minh_10126,Hà Nội,20.904028,105.757543
00118,Bồ Đề,Bồ Đề,01,Hà Nội,NO,Bồ Đề,Hà Nội,Bồ Đề,Hà Nội,21.050092,105.875797
00166,Cầu Giấy,Cầu Giấy,01,Hà Nội,NO,Cầu Giấy,Hà Nội,Cầu Giấy,Hà Nội,21.02859,105.789587
10237,Chương Dương,Chương Dương,01,Hà Nội,NO,Chương Dương,Hà Nội,Chương Dương,Hà Nội,20.835203,105.898197
10015,Chương Mỹ,Chương Mỹ,01,Hà Nội,NO,Chương Mỹ,Hà Nội,Chương Mỹ,Hà Nội,20.925771,105.702604
10330,Chuyên Mỹ,Chuyên Mỹ,01,Hà Nội,NO,Chuyên Mỹ,Hà Nội,Chuyên Mỹ,Hà Nội,20.715483,105.881369
09634,Cổ Đô,Cổ Đô,01,Hà Nội,NO,Cổ Đô,Hà Nội,Cổ Đô,Hà Nội,21.270688,105.39788
00082,Cửa Nam,Cửa Nam,01,Hà Nội,NO,Cửa Nam,Hà Nội,Cửa Nam,Hà Nội,21.022791,105.85121
00430,Đa Phúc,Đa Phúc,01,Hà Nội,NO,Đa Phúc,Hà Nội,Đa Phúc,Hà Nội,21.247608,105.912913
00637,Đại Mỗ,Đại Mỗ,01,Hà Nội,NO,Đại Mỗ,Hà Nội,Đại Mỗ,Hà Nội,20.993346,105.776689
00664,Đại Thanh,Đại Thanh,01,Hà Nội,NO,Đại Thanh,Hà Nội,Đại Thanh,Hà Nội,20.934164,105.818844
10342,Đại Xuyên,Đại Xuyên,01,Hà Nội,NO,Đại Xuyên,Hà Nội,Đại Xuyên,Hà Nội,20.696674,105.953555
10180,Dân Hòa,Dân Hòa,01,Hà Nội,NO,Dân Hòa,Hà Nội,Dân Hòa,Hà Nội,20.810729,105.79478
09784,Đan Phượng,Đan Phượng,01,Hà Nội,NO,Đan Phượng,Hà Nội,Đan Phượng,Hà Nội,21.094528,105.668574
00316,Định Công,Định Công,01,Hà Nội,NO,Định Công,Hà Nội,Định Công,Hà Nội,20.977947,105.824517
09616,Đoài Phương,Đoài Phương,01,Hà Nội,NO,Đoài Phương,Hà Nội,Đoài Phương,Hà Nội,21.063981,105.494895
00454,Đông Anh,Đông Anh,01,Hà Nội,NO,Đông Anh,Hà Nội,Đông Anh,Hà Nội,21.110913,105.875918
00235,Đống Đa,Đống Đa,01,Hà Nội,NO,Đống Đa,Hà Nội,Đống Đa,Hà Nội,21.010992,105.818233
00602,Đông Ngạc,Đông Ngạc,01,Hà Nội,NO,Đông Ngạc,Hà Nội,Đông Ngạc,Hà Nội,21.077624,105.779164
09856,Dương Hòa,Dương Hòa,01,Hà Nội,NO,Dương Hòa,Hà Nội,Dương Hòa,Hà Nội,21.048491,105.671186
09886,Dương Nội,Dương Nội,01,Hà Nội,NO,Dương Nội,Hà Nội,Dương Nội,Hà Nội,20.973768,105.749108
00565,Gia Lâm,Gia Lâm_00565,01,Hà Nội,NO,Gia Lâm_00565,Hà Nội,Gia Lâm_00565,Hà Nội,20.998838,105.95364
00025,Giảng Võ,Giảng Võ,01,Hà Nội,NO,Giảng Võ,Hà Nội,Giảng Võ,Hà Nội,21.026078,105.816743
09982,Hạ Bằng,Hạ Bằng,01,Hà Nội,NO,Hạ Bằng,Hà Nội,Hạ Bằng,Hà Nội,21.01611,105.571147
09556,Hà Đông,Hà Đông_09556,01,Hà Nội,NO,Hà Đông_09556,Hà Nội,Hà Đông_09556,Hà Nội,20.974336,105.7779
00256,Hai Bà Trưng,Hai Bà Trưng,01,Hà Nội,NO,Hai Bà Trưng,Hà Nội,Hai Bà Trưng,Hà Nội,21.014645,105.852223
09772,Hát Môn,Hát Môn,01,Hà Nội,NO,Hát Môn,Hà Nội,Hát Môn,Hà Nội,21.089081,105.619918
09988,Hòa Lạc,Hòa Lạc_09988,01,Hà Nội,NO,Hòa Lạc_09988,Hà Nội,Hòa Lạc_09988,Hà Nội,21.013652,105.506794
10096,Hòa Phú,Hòa Phú_10096,01,Hà Nội,NO,Hòa Phú_10096,Hà Nội,Hòa Phú_10096,Hà Nội,20.832675,105.725178
10417,Hòa Xá,Hòa Xá,01,Hà Nội,NO,Hòa Xá,Hà Nội,Hòa Xá,Hà Nội,20.668276,105.798978
09832,Hoài Đức,Hoài Đức_09832,01,Hà Nội,NO,Hoài Đức_09832,Hà Nội,Hoài Đức_09832,Hà Nội,21.064596,105.705792
00070,Hoàn Kiếm,Hoàn Kiếm,01,Hà Nội,NO,Hoàn Kiếm,Hà Nội,Hoàn Kiếm,Hà Nội,21.032421,105.849767
00337,Hoàng Liệt,Hoàng Liệt,01,Hà Nội,NO,Hoàng Liệt,Hà Nội,Hoàng Liệt,Hà Nội,20.960833,105.828259
00331,Hoàng Mai,Hoàng Mai_00331,01,Hà Nội,NO,Hoàng Mai_00331,Hà Nội,Hoàng Mai_00331,Hà Nội,20.974408,105.862445
00097,Hồng Hà,Hồng Hà,01,Hà Nội,NO,Hồng Hà,Hà Nội,Hồng Hà,Hà Nội,21.048095,105.852419
10465,Hồng Sơn,Hồng Sơn_10465,01,Hà Nội,NO,Hồng Sơn_10465,Hà Nội,Hồng Sơn_10465,Hà Nội,20.716002,105.713751
10210,Hồng Vân,Hồng Vân,01,Hà Nội,NO,Hồng Vân,Hà Nội,Hồng Vân,Hà Nội,20.879943,105.898711
09931,Hưng Đạo,Hưng Đạo_09931,01,Hà Nội,NO,Hưng Đạo_09931,Hà Nội,Hưng Đạo_09931,Hà Nội,20.969512,105.657909
10489,Hương Sơn,Hương Sơn_10489,01,Hà Nội,NO,Hương Sơn_10489,Hà Nội,Hương Sơn_10489,Hà Nội,20.6205,105.752217
00364,Khương Đình,Khương Đình,01,Hà Nội,NO,Khương Đình,Hà Nội,Khương Đình,Hà Nội,20.990033,105.814097
09552,Kiến Hưng,Kiến Hưng_09552,01,Hà Nội,NO,Kiến Hưng_09552,Hà Nội,Kiến Hưng_09552,Hà Nội,20.952922,105.777051
09910,Kiều Phú,Kiều Phú,01,Hà Nội,NO,Kiều Phú,Hà Nội,Kiều Phú,Hà Nội,20.973882,105.602157
00382,Kim Anh,Kim Anh,01,Hà Nội,NO,Kim Anh,Hà Nội,Kim Anh,Hà Nội,21.296454,105.773674
00229,Kim Liên,Kim Liên_00229,01,Hà Nội,NO,Kim Liên_00229,Hà Nội,Kim Liên_00229,Hà Nội,21.006114,105.832081
00199,Láng,Láng,01,Hà Nội,NO,Láng,Hà Nội,Láng,Hà Nội,21.020992,105.80479
