DistrictID,DistrictName,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Is Strategic Zone Hub,Est Merchant 2026,Distributor Code,Distributor Name,SO,SO OFF,AO M06,Amount (Tax) M06,AO OFF M06,Amount (Tax) OFF M06,AO M05,Amount (Tax) M05,AO OFF M05,Amount (Tax) OFF M05
9877,An Khánh,1,Hà Nội,NO,An Khánh_09877,Hà Nội,An Khánh_09877,Hà Nội,20.982931,105.708572,100593,3506.204252,28.69,0,1257,0,0,0,0,0,0,0,0,0,0,0,0
4,Ba Đình,1,Hà Nội,NO,Ba Đình_00004,Hà Nội,Ba Đình_00004,Hà Nội,21.039687,105.83718,64040,21562.28956,2.97,0,800,0,0,0,0,0,0,0,0,0,0,0,0
9700,Ba Vì,1,Hà Nội,NO,Ba Vì_09700,Hà Nội,Ba Vì_09700,Hà Nội,21.059128,105.337614,26248,322.9728067,81.27,0,328,0,0,0,0,0,0,0,0,0,0,0,0
292,Bạch Mai,1,Hà Nội,NO,Bạch Mai,Hà Nội,Bạch Mai,Hà Nội,21.002772,105.851432,127613,43258.64407,2.95,0,1595,0,0,0,0,0,0,0,0,0,0,0,0
9676,Bất Bạt,1,Hà Nội,NO,Bất Bạt,Hà Nội,Bất Bạt,Hà Nội,21.159699,105.329456,39461,699.2911572,56.43,0,493,0,0,0,0,0,0,0,0,0,0,0,0
577,Bát Tràng,1,Hà Nội,NO,Bát Tràng,Hà Nội,Bát Tràng,Hà Nội,20.969554,105.945437,48247,2334.155781,20.67,0,603,0,0,0,0,0,0,0,0,0,0,0,0
10126,Bình Minh,1,Hà Nội,NO,Bình Minh_10126,Hà Nội,Bình Minh_10126,Hà Nội,20.904028,105.757543,78857,2640.890824,29.86,0,985,0,0,0,0,0,0,0,0,0,0,0,0
118,Bồ Đề,1,Hà Nội,NO,Bồ Đề,Hà Nội,Bồ Đề,Hà Nội,21.050092,105.875797,118214,9135.548686,12.94,0,1477,0,0,0,0,0,0,0,0,0,0,0,0
166,Cầu Giấy,1,Hà Nội,NO,Cầu Giấy,Hà Nội,Cầu Giấy,Hà Nội,21.02859,105.789587,73389,19622.72727,3.74,0,917,0,0,0,0,0,0,0,0,0,0,0,0
10237,Chương Dương,1,Hà Nội,NO,Chương Dương,Hà Nội,Chương Dương,Hà Nội,20.835203,105.898197,59067,2044.548287,28.89,0,738,0,0,0,0,0,0,0,0,0,0,0,0
10015,Chương Mỹ,1,Hà Nội,NO,Chương Mỹ,Hà Nội,Chương Mỹ,Hà Nội,20.925771,105.702604,86584,2225.809769,38.9,0,1082,0,0,0,0,0,0,0,0,0,0,0,0
10330,Chuyên Mỹ,1,Hà Nội,NO,Chuyên Mỹ,Hà Nội,Chuyên Mỹ,Hà Nội,20.715483,105.881369,44181,1243.134496,35.54,0,552,0,0,0,0,0,0,0,0,0,0,0,0
9634,Cổ Đô,1,Hà Nội,NO,Cổ Đô,Hà Nội,Cổ Đô,Hà Nội,21.270688,105.39788,69638,1307.755869,53.25,0,870,0,0,0,0,0,0,0,0,0,0,0,0
82,Cửa Nam,1,Hà Nội,NO,Cửa Nam,Hà Nội,Cửa Nam,Hà Nội,21.022791,105.85121,51953,30924.40476,1.68,0,649,0,0,0,0,0,0,0,0,0,0,0,0
430,Đa Phúc,1,Hà Nội,NO,Đa Phúc,Hà Nội,Đa Phúc,Hà Nội,21.247608,105.912913,82385,1489.244396,55.32,0,1029,0,0,0,0,0,0,0,0,0,0,0,0
637,Đại Mỗ,1,Hà Nội,NO,Đại Mỗ,Hà Nội,Đại Mỗ,Hà Nội,20.993346,105.776689,79246,9783.45679,8.1,0,990,0,0,0,0,0,0,0,0,0,0,0,0
664,Đại Thanh,1,Hà Nội,NO,Đại Thanh,Hà Nội,Đại Thanh,Hà Nội,20.934164,105.818844,91159,4818.128964,18.92,0,1139,0,0,0,0,0,0,0,0,0,0,0,0
10342,Đại Xuyên,1,Hà Nội,NO,Đại Xuyên,Hà Nội,Đại Xuyên,Hà Nội,20.696674,105.953555,73774,1428.068138,51.66,0,922,0,0,0,0,0,0,0,0,0,0,0,0
10180,Dân Hòa,1,Hà Nội,NO,Dân Hòa,Hà Nội,Dân Hòa,Hà Nội,20.810729,105.79478,61807,1608.300807,38.43,0,772,0,0,0,0,0,0,0,0,0,0,0,0
9784,Đan Phượng,1,Hà Nội,NO,Đan Phượng,Hà Nội,Đan Phượng,Hà Nội,21.094528,105.668574,46910,3066.013072,15.3,0,586,0,0,0,0,0,0,0,0,0,0,0,0
316,Định Công,1,Hà Nội,NO,Định Công,Hà Nội,Định Công,Hà Nội,20.977947,105.824517,84209,15769.47566,5.34,0,1052,0,0,0,0,0,0,0,0,0,0,0,0
9616,Đoài Phương,1,Hà Nội,NO,Đoài Phương,Hà Nội,Đoài Phương,Hà Nội,21.063981,105.494895,39226,686.9702277,57.1,0,490,0,0,0,0,0,0,0,0,0,0,0,0
454,Đông Anh,1,Hà Nội,NO,Đông Anh,Hà Nội,Đông Anh,Hà Nội,21.110913,105.875918,116398,2391.084634,48.68,0,1454,0,0,0,0,0,0,0,0,0,0,0,0
235,Đống Đa,1,Hà Nội,NO,Đống Đa,Hà Nội,Đống Đa,Hà Nội,21.010992,105.818233,80128,38709.17874,2.07,0,1001,0,0,0,0,0,0,0,0,0,0,0,0
602,Đông Ngạc,1,Hà Nội,NO,Đông Ngạc,Hà Nội,Đông Ngạc,Hà Nội,21.077624,105.779164,82281,9297.288136,8.85,0,1028,0,0,0,0,0,0,0,0,0,0,0,0
9856,Dương Hòa,1,Hà Nội,NO,Dương Hòa,Hà Nội,Dương Hòa,Hà Nội,21.048491,105.671186,5794,332.797243,17.41,0,72,0,0,0,0,0,0,0,0,0,0,0,0
9886,Dương Nội,1,Hà Nội,NO,Dương Nội,Hà Nội,Dương Nội,Hà Nội,20.973768,105.749108,55243,6992.78481,7.9,0,690,0,0,0,0,0,0,0,0,0,0,0,0
565,Gia Lâm,1,Hà Nội,NO,Gia Lâm_00565,Hà Nội,Gia Lâm_00565,Hà Nội,20.998838,105.95364,89131,3465.435459,25.72,0,1114,0,0,0,0,0,0,0,0,0,0,0,0
25,Giảng Võ,1,Hà Nội,NO,Giảng Võ,Hà Nội,Giảng Võ,Hà Nội,21.026078,105.816743,95567,36756.53846,2.6,0,1194,0,0,0,0,0,0,0,0,0,0,0,0
9982,Hạ Bằng,1,Hà Nội,NO,Hạ Bằng,Hà Nội,Hạ Bằng,Hà Nội,21.01611,105.571147,38136,1186.558805,32.14,0,476,0,0,0,0,0,0,0,0,0,0,0,0
9556,Hà Đông,1,Hà Nội,NO,Hà Đông_09556,Hà Nội,Hà Đông_09556,Hà Nội,20.974336,105.7779,182407,20267.44444,9,0,2280,0,0,0,0,0,0,0,0,0,0,0,0
256,Hai Bà Trưng,1,Hà Nội,NO,Hai Bà Trưng,Hà Nội,Hai Bà Trưng,Hà Nội,21.014645,105.852223,86475,32632.07547,2.65,0,1080,0,0,0,0,0,0,0,0,0,0,0,0
9772,Hát Môn,1,Hà Nội,NO,Hát Môn,Hà Nội,Hát Môn,Hà Nội,21.089081,105.619918,71136,1888.399257,37.67,0,889,0,0,0,0,0,0,0,0,0,0,0,0
9988,Hòa Lạc,1,Hà Nội,NO,Hòa Lạc_09988,Hà Nội,Hòa Lạc_09988,Hà Nội,21.013652,105.506794,20501,579.6154934,35.37,0,256,0,0,0,0,0,0,0,0,0,0,0,0
10096,Hòa Phú,1,Hà Nội,NO,Hòa Phú_10096,Hà Nội,Hòa Phú_10096,Hà Nội,20.832675,105.725178,49193,1646.903247,29.87,0,614,0,0,0,0,0,0,0,0,0,0,0,0
10417,Hòa Xá,1,Hà Nội,NO,Hòa Xá,Hà Nội,Hòa Xá,Hà Nội,20.668276,105.798978,68379,1691.712024,40.42,0,854,0,0,0,0,0,0,0,0,0,0,0,0
9832,Hoài Đức,1,Hà Nội,NO,Hoài Đức_09832,Hà Nội,Hoài Đức_09832,Hà Nội,21.064596,105.705792,68193,4076.090855,16.73,0,852,0,0,0,0,0,0,0,0,0,0,0,0
70,Hoàn Kiếm,1,Hà Nội,NO,Hoàn Kiếm,Hà Nội,Hoàn Kiếm,Hà Nội,21.032421,105.849767,103710,54298.42932,1.91,0,1296,0,0,0,0,0,0,0,0,0,0,0,0
337,Hoàng Liệt,1,Hà Nội,NO,Hoàng Liệt,Hà Nội,Hoàng Liệt,Hà Nội,20.960833,105.828259,5498,1360.891089,4.04,0,68,0,0,0,0,0,0,0,0,0,0,0,0
331,Hoàng Mai,1,Hà Nội,NO,Hoàng Mai_00331,Hà Nội,Hoàng Mai_00331,Hà Nội,20.974408,105.862445,97014,10731.63717,9.04,0,1212,0,0,0,0,0,0,0,0,0,0,0,0
97,Hồng Hà,1,Hà Nội,NO,Hồng Hà,Hà Nội,Hồng Hà,Hà Nội,21.048095,105.852419,121420,8046.388337,15.09,0,1517,0,0,0,0,0,0,0,0,0,0,0,0
10465,Hồng Sơn,1,Hà Nội,NO,Hồng Sơn_10465,Hà Nội,Hồng Sơn_10465,Hà Nội,20.716002,105.713751,6218,114.3435086,54.38,0,77,0,0,0,0,0,0,0,0,0,0,0,0
10210,Hồng Vân,1,Hà Nội,NO,Hồng Vân,Hà Nội,Hồng Vân,Hà Nội,20.879943,105.898711,57799,2356.257644,24.53,0,722,0,0,0,0,0,0,0,0,0,0,0,0
9931,Hưng Đạo,1,Hà Nội,NO,Hưng Đạo_09931,Hà Nội,Hưng Đạo_09931,Hà Nội,20.969512,105.657909,48611,1952.248996,24.9,0,607,0,0,0,0,0,0,0,0,0,0,0,0
10489,Hương Sơn,1,Hà Nội,NO,Hương Sơn_10489,Hà Nội,Hương Sơn_10489,Hà Nội,20.6205,105.752217,51839,750.094053,69.11,0,647,0,0,0,0,0,0,0,0,0,0,0,0
364,Khương Đình,1,Hà Nội,NO,Khương Đình,Hà Nội,Khương Đình,Hà Nội,20.990033,105.814097,84983,27413.87097,3.1,0,1062,0,0,0,0,0,0,0,0,0,0,0,0
9552,Kiến Hưng,1,Hà Nội,NO,Kiến Hưng_09552,Hà Nội,Kiến Hưng_09552,Hà Nội,20.952922,105.777051,69763,10490.67669,6.65,0,872,0,0,0,0,0,0,0,0,0,0,0,0
9910,Kiều Phú,1,Hà Nội,NO,Kiều Phú,Hà Nội,Kiều Phú,Hà Nội,20.973882,105.602157,59965,1736.60585,34.53,0,749,0,0,0,0,0,0,0,0,0,0,0,0
382,Kim Anh,1,Hà Nội,NO,Kim Anh,Hà Nội,Kim Anh,Hà Nội,21.296454,105.773674,47830,905.8712121,52.8,0,597,0,0,0,0,0,0,0,0,0,0,0,0
229,Kim Liên,1,Hà Nội,NO,Kim Liên_00229,Hà Nội,Kim Liên_00229,Hà Nội,21.006114,105.832081,107459,43682.52033,2.46,0,1343,0,0,0,0,0,0,0,0,0,0,0,0
